Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
26983.0,2.459106223184989,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment06,7ee428afb857bf35,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000017/MC_C_20211114_000017_R11_S02.fits
26823.0,4.227837231710987,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,7ee428afb857bf35,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000017/MC_C_20211114_000017_R11_S02.fits
26771.0,3.5897419144596343,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,7ee428afb857bf35,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000017/MC_C_20211114_000017_R11_S02.fits
26197.0,1.528879548986815,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment13,95e9dfbf51af77ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000070/MC_C_20211120_000070_R11_S02.fits
26523.0,3.235469705833676,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,95e9dfbf51af77ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000070/MC_C_20211120_000070_R11_S02.fits
26411.0,1.1622612486159418,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment04,95e9dfbf51af77ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000070/MC_C_20211120_000070_R11_S02.fits
26824.0,3.632752090818264,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,8451fea3d18f3053,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000206/MC_C_20211114_000206_R11_S02.fits
26681.0,3.4996105363748518,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,8451fea3d18f3053,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000206/MC_C_20211114_000206_R11_S02.fits
26855.0,1.7650471001978376,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,8451fea3d18f3053,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000206/MC_C_20211114_000206_R11_S02.fits
26980.0,2.466901742734557,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment06,3c56d45a3d426541,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000092/MC_C_20211114_000092_R11_S02.fits
26823.0,3.3175714174833173,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,3c56d45a3d426541,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000092/MC_C_20211114_000092_R11_S02.fits
26683.0,3.126320908457423,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,3c56d45a3d426541,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000092/MC_C_20211114_000092_R11_S02.fits
26775.0,1.5273227468551658,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,3c56d45a3d426541,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000092/MC_C_20211114_000092_R11_S02.fits
26857.0,2.0418452096237187,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,3c56d45a3d426541,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000092/MC_C_20211114_000092_R11_S02.fits
26524.0,3.043579473313068,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,2f93698d87c4aab6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000285/MC_C_20211119_000285_R11_S02.fits
26413.0,1.6506049687291289,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment04,2f93698d87c4aab6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000285/MC_C_20211119_000285_R11_S02.fits
26687.0,1.1431034220613707,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment14,3aa79e692f2565d3,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000200/MC_C_20211119_000200_R11_S02.fits
26521.0,3.147378350954112,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,3aa79e692f2565d3,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000200/MC_C_20211119_000200_R11_S02.fits
26522.0,2.724212233194392,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,495b017f79077501,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000098/MC_C_20211120_000098_R11_S02.fits
26685.0,1.308669789602272,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment14,a828218824d07fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000094/MC_C_20211120_000094_R11_S02.fits
26521.0,2.8912860951043755,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,a828218824d07fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000094/MC_C_20211120_000094_R11_S02.fits
