Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
26777.0,2.9148788724418577,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment12,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R11_S02.fits
26439.0,2.1491200015384946,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment13,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R11_S02.fits
26981.0,3.0943483451778393,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment06,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R11_S02.fits
26826.0,2.8705198187970944,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment05,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R11_S02.fits
26683.0,5.008002246892596,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment04,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R11_S02.fits
26775.0,3.7175435070923513,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment03,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R11_S02.fits
22926.0,0.9208714479817337,LCA-11021_RTM-022,ITL-3800C-506,13047,Segment04,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R43_S01.fits
24532.0,5.7458482996825655,LCA-11021_RTM-021,ITL-3800C-355,13047,Segment16,6e964f978f082853,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000021/MC_C_20211117_000021_R41_S02.fits
68503.0,1.97970460126429,LCA-11021_RTM-020,E2V-CCD250-359,13055,Segment03,8a699786a086352d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000191/MC_C_20211117_000191_R11_S02.fits
52770.0,2.3356130870434275,LCA-11021_RTM-011,ITL-3800C-083,13055,Segment10,8a699786a086352d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000191/MC_C_20211117_000191_R01_S00.fits
62449.0,3.188137718226372,LCA-11021_RTM-021,ITL-3800C-355,13055,Segment16,8a699786a086352d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000191/MC_C_20211117_000191_R41_S02.fits
60635.0,2.545135544195002,LCA-11021_RTM-006,E2V-CCD250-190,13055,Segment07,8a699786a086352d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000191/MC_C_20211117_000191_R14_S12.fits
60625.0,2.7093322826492816,LCA-11021_RTM-014,ITL-3800C-307,13055,Segment15,8a699786a086352d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000191/MC_C_20211117_000191_R20_S00.fits
29426.0,2.1645645530649196,LCA-11021_RTM-020,E2V-CCD250-361,13047,Segment12,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S22.fits
27589.0,2.6509564307291,LCA-11021_RTM-006,E2V-CCD250-190,13047,Segment07,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R14_S12.fits
27721.0,2.5541067710900127,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment12,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
27376.0,1.5161480269267082,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment13,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
27965.0,1.841473963440701,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment14,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
30297.0,3.9906789614620855,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment06,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
27735.0,4.4583725032932024,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment05,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
27595.0,3.3126996436785348,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment04,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
27669.0,2.911435619259704,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment03,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
27748.0,3.1282558740437243,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment02,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R11_S02.fits
25337.0,4.992781837043162,LCA-11021_RTM-021,ITL-3800C-355,13047,Segment16,59eb7ea9c92c11d8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000031/MC_C_20211117_000031_R41_S02.fits
26650.0,1.8364318741416426,LCA-11021_RTM-006,E2V-CCD250-190,13051,Segment10,21782eafe22ccf1e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000085/MC_C_20211117_000085_R14_S12.fits
22998.0,1.1593656974718798,LCA-11021_RTM-014,ITL-3800C-440,13047,Segment13,ba6bf840bb5e17a4,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000024/MC_C_20211117_000024_R20_S11.fits
22864.0,1.1068827959589818,LCA-11021_RTM-022,ITL-3800C-476,13047,Segment12,ba6bf840bb5e17a4,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000024/MC_C_20211117_000024_R43_S12.fits
24531.0,1.5926476526229245,LCA-11021_RTM-021,ITL-3800C-355,13047,Segment16,ba6bf840bb5e17a4,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000024/MC_C_20211117_000024_R41_S02.fits
26980.0,2.42203067251731,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment06,ba6bf840bb5e17a4,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000024/MC_C_20211117_000024_R11_S02.fits
26827.0,3.652493584707942,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment05,ba6bf840bb5e17a4,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000024/MC_C_20211117_000024_R11_S02.fits
26774.0,2.2778405941555717,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment03,ba6bf840bb5e17a4,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000024/MC_C_20211117_000024_R11_S02.fits
24729.0,0.9010926854751179,LCA-11021_RTM-021,ITL-3800C-161,13051,Segment10,2be8d43bc0091cab,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000092/MC_C_20211117_000092_R41_S21.fits
26815.0,2.0303453864836025,LCA-11021_RTM-006,E2V-CCD250-190,13051,Segment03,2be8d43bc0091cab,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000092/MC_C_20211117_000092_R14_S12.fits
24252.0,2.090428910523053,LCA-11021_RTM-021,ITL-3800C-161,13053,Segment05,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R41_S21.fits
24535.0,5.168904579322869,LCA-11021_RTM-021,ITL-3800C-355,13053,Segment16,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R41_S02.fits
24316.0,1.8407266885343596,LCA-11021_RTM-023,ITL-3800C-377,13053,Segment15,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R10_S20.fits
23133.0,1.4396853787923587,LCA-11021_RTM-021,ITL-3800C-478,13053,Segment03,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R41_S00.fits
26978.0,2.55068657025789,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment06,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R11_S02.fits
26825.0,3.565406932758389,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment05,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R11_S02.fits
26683.0,2.5728824268624564,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment04,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R11_S02.fits
26772.0,2.819803625355566,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment03,8f52552e8cdf2ae,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000108/MC_C_20211117_000108_R11_S02.fits
23809.0,2.551444443822083,LCA-11021_RTM-011,ITL-3800C-136,13053,Segment04,9064bfeb45ea7d4f,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000111/MC_C_20211117_000111_R01_S02.fits
24528.0,4.330355002543656,LCA-11021_RTM-021,ITL-3800C-355,13053,Segment16,9064bfeb45ea7d4f,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000111/MC_C_20211117_000111_R41_S02.fits
24532.0,6.462949832063406,LCA-11021_RTM-021,ITL-3800C-355,13053,Segment16,9064bfeb45ea7d4f,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000111/MC_C_20211117_000111_R41_S02.fits
26773.0,2.166634992448936,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment12,9064bfeb45ea7d4f,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000111/MC_C_20211117_000111_R11_S02.fits
26980.0,2.0887177483156076,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment06,9064bfeb45ea7d4f,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000111/MC_C_20211117_000111_R11_S02.fits
26826.0,2.922047983556579,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment05,9064bfeb45ea7d4f,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000111/MC_C_20211117_000111_R11_S02.fits
26668.0,1.2008030675870012,LCA-11021_RTM-015,E2V-CCD250-293,13047,Segment03,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R32_S00.fits
24252.0,2.2481529356904164,LCA-11021_RTM-021,ITL-3800C-161,13047,Segment05,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R41_S21.fits
27007.0,2.0677012805712747,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment14,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R11_S02.fits
26826.0,3.533802092854131,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment05,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R11_S02.fits
26684.0,3.914574491928954,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment04,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R11_S02.fits
26774.0,2.7653287730708263,LCA-11021_RTM-020,E2V-CCD250-359,13047,Segment03,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R11_S02.fits
22641.0,1.01582276334294,LCA-11021_RTM-018,ITL-3800C-019,13047,Segment13,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R42_S10.fits
24637.0,1.209370501384152,LCA-11021_RTM-014,ITL-3800C-411,13047,Segment00,c1d854ecb721ddff,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000015/MC_C_20211117_000015_R20_S12.fits
26659.0,2.7867973070081513,LCA-11021_RTM-006,E2V-CCD250-190,13053,Segment10,a0d2a0de4f24996e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000123/MC_C_20211117_000123_R14_S12.fits
26637.0,0.8646569120727654,LCA-11021_RTM-007,E2V-CCD250-175,13053,Segment14,a0d2a0de4f24996e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000123/MC_C_20211117_000123_R31_S02.fits
27008.0,1.9943945535322787,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment14,a0d2a0de4f24996e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000123/MC_C_20211117_000123_R11_S02.fits
26663.0,1.6181863470331104,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment15,a0d2a0de4f24996e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000123/MC_C_20211117_000123_R11_S02.fits
26825.0,3.337466554502889,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment05,a0d2a0de4f24996e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000123/MC_C_20211117_000123_R11_S02.fits
26681.0,3.9689467210754943,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment04,a0d2a0de4f24996e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000123/MC_C_20211117_000123_R11_S02.fits
